Date,Open,High,Low,Close,Adj Close,Volume
2011-12-01,666.0,683.75,590.0,664.25,664.25,2227167
2012-03-01,662.0,722.0,589.75,643.75,643.75,2896150
2012-06-01,643.5,947.25,607.5,870.0,870.0,2899988
2012-09-01,875.5,926.5,829.5,844.75,844.75,3099813
2012-12-01,849.75,858.5,692.75,707.75,707.75,2817943
2013-03-01,710.75,741.75,659.75,705.5,705.5,2282742
2013-06-01,708.5,714.5,623.0,643.25,643.25,2560350
2014-03-01,610.0,735.0,608.25,627.25,627.25,2510162
2014-09-01,550.25,579.25,466.25,577.25,577.25,2750407
2014-12-01,577.5,677.0,491.25,517.5,517.5,3004526
2015-06-01,478.0,615.75,470.75,482.5,482.5,3790815
2015-09-01,482.0,531.5,455.5,460.0,460.0,3668679
2015-12-01,460.0,499.0,438.0,445.0,445.0,3195961
2016-03-01,445.0,510.75,435.25,464.5,464.5,2926316
2016-06-01,464.5,524.0,359.5,361.0,361.0,3767520
2016-09-01,363.0,428.25,362.5,380.5,380.5,3585948
2016-12-01,376.5,464.25,369.5,424.75,424.75,3341348
2017-03-01,424.25,450.75,398.5,429.25,429.25,2838724
2017-06-01,429.5,553.5,394.5,410.25,410.25,3812403
2017-09-01,410.75,462.75,405.25,409.25,409.25,3642330
2017-12-01,409.0,487.5,386.5,484.5,484.5,3732008
2018-03-01,491.25,554.0,441.5,526.25,526.25,3513891
2018-06-01,524.5,593.0,466.75,518.5,518.5,4161908
2018-09-01,507.25,531.25,471.75,515.75,515.75,3338062
2018-12-01,524.25,537.5,452.25,452.5,452.5,2905461
2019-03-01,452.5,521.75,416.25,503.0,503.0,3131692
2019-06-01,505.75,558.0,450.0,451.25,451.25,3317320
2020-06-01,520.0,551.75,468.25,544.25,544.25,3390159
2020-09-01,542.5,638.25,525.0,580.25,580.25,3829570
2020-12-01,580.75,693.0,560.0,655.0,655.0,3001940
2021-03-01,661.0,773.5,593.25,663.5,663.5,2566822
2021-06-01,673.25,774.75,604.5,706.75,706.75,3200775
2021-09-01,708.25,863.25,671.5,773.75,773.75,2781022
2021-12-01,784.0,951.25,735.5,928.0,928.0,2720298
2022-03-01,951.0,1425.25,951.0,1087.5,1087.5,1528640
2022-06-01,1091.0,1108.75,725.75,809.0,809.0,2341167
2022-09-01,802.75,949.75,750.25,771.5,771.5,2814364
2022-12-01,767.5,799.0,687.0,691.5,691.5,2413469
2023-03-01,691.25,724.0,653.5,682.5,682.5,1520812
2023-04-17,695.0,707.75,685.25,705.75,705.75,72586
